popul,año,id_track,artist,song,duration,
84,2013,3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,269.56,
83,2011,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,Pumped Up Kicks,239.6,
82,2014,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud,281.56,
81,2014,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,199.08,
81,2011,0qOnSQQF0yzuPWsXrQ9paz,Adam Levine,Stereo Hearts (feat. Adam Levine),210.96,
80,2018,1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Havana (feat. Young Thug),217.306,
80,2013,6Z8R6UsFuGXGtiIxiD8ISb,Capital Cities,Safe And Sound,192.789,
80,2012,2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,Everybody Talks,177.28,
80,2008,0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,Sex on Fire,203.346,
79,2018,0E9ZjEAyAwOXZ7wJC0PD33,Gigi D'Agostino,In My Mind,184.56,
79,2014,2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,235.493,
79,2014,2bJvI42r8EF3wxjOuDav4r,Ne-Yo,Time of Our Lives,229.36,
79,2011,0laYHRpNTS6i8FXdupHkJ4,Selena Gomez & The Scene,Love You Like A Love Song,188.453,
79,2010,2CEgGE6aESpnmtfiZwYlbV,Taio Cruz,Dynamite,202.613,
79,2010,0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,195.373,
79,2000,0I3q5fE6wg7LIfHGngUTnV,Outkast,Ms. Jackson,270.506,
79,1996,1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,Wannabe,173.026,
79,1977,2RlgNHKcydI9sayD2Df2xp,Electric Light Orchestra,Mr. Blue Sky,303.373,
78,2017,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,209.32,
78,2014,6Ius4TC0L3cN74HT7ENE6e,J. Cole,Wet Dreamz,239.32,
77,2019,7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,Before You Go,215.106,
77,2018,116H0KvKr2Zl4RPuVBruDO,Bad Bunny,MIA (feat. Drake),210.367,
77,2017,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF,217.946,
77,2014,5Hroj5K7vLpIG4FNCRIjbP,American Authors,Best Day Of My Life,194.24,
77,2013,4rHZZAmHpZrA3iH5zx8frV,Justin Timberlake,Mirrors,484.146,
77,2013,2y4lAQpi5VTNLu2ldeTdUH,Miley Cyrus,We Can't Stop,231.24,
77,2013,2Foc5Q5nqNiosCNqttzHof,Nile Rodgers,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,248.413,
77,2005,0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,Temperature,218.573,
77,2001,2MLHyLy5z5l5YRp7momlgw,Weezer,Island In The Sun,200.306,
77,2001,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,How You Remind Me,223.84,
77,1999,1KGi9sZVMeszgZOWivFpxs,TLC,No Scrubs,214.4,
77,1997,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,Everlong,250.546,
77,1988,2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,Fast Car,296.8,
76,2020,2MlOUXmcofMackX3bxfSwi,Master KG,Jerusalema (feat. Nomcebo Zikode),342.612,
76,2016,6JV2JOEocMgcZxYSZelKcc,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",236.001,
76,2015,0fYVliAYKHuPmECRs1pbRf,X Ambassadors,Renegades,195.2,
76,2006,11bD1JtSjlIgKgZG2134DZ,Snow Patrol,Chasing Cars,267.933,
76,1983,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,Uptown Girl,197.706,
76,1975,7HW5WIw7ZgZORCzUxv5gW5,Kiki Dee,Don't Go Breaking My Heart,275.44,
75,2017,63SevszngYpZOwf63o61K4,Dennis Lloyd,Nevermind,156.6,
75,2011,4wCmqSrbyCgxEXROQE6vtV,Kimbra,Somebody That I Used to Know,244.973,
75,2010,7pYfyrMNPn3wtoCyqcTVoI,Christina Aguilera,Moves Like Jagger - Studio Recording From The Voice Performance,201.493,
75,2002,3YuaBvuZqcwN3CEAyyoaei,Audioslave,Like a Stone,293.96,
75,1994,6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,Lamento Boliviano,222.226,
75,1993,11LmqTE2naFULdEP94AUBa,Nirvana,Heart-Shaped Box,281.16,
74,2019,3D5uEBD0cAEGZGUo5j9045,La Factoria,Todavia,205.36,
74,2013,5anCkDvJ17aznvK5TED5uo,Avenged Sevenfold,Hail to the King,305.906,
74,2010,2tJulUYLDKOg9XrtVkMgcJ,Bruno Mars,Grenade,223.253,
74,2009,2UREu1Y8CO4jXkbvqAtP7g,Skillet,Monster,178.013,
74,2006,70wYA8oYHoMzhRRkARoMhU,The Killers,When You Were Young,220.426,
74,2006,4wzjNqjKAKDU82e8uMhzmr,The Red Jumpsuit Apparatus,Face Down,192,
74,2004,7oK9VyNzrYvRFo7nQEYkWN,The Killers,Mr. Brightside,222.586,
74,1991,1L94M3KIu7QluZe63g64rv,Pearl Jam,Alive,340.907,
74,1985,1Wrzhfa5bNlqvsnCztz190,Hombres G,Devuélveme a mi chica,194.866,
74,1982,4YwbSZaYeYja8Umyt222Qf,Phil Collins,You Can't Hurry Love - 2016 Remaster,175.746,
74,1973,6Ac4NVYYl2U73QiTt11ZKd,Björn Skifs,Hooked on a Feeling,172.866,
74,1970,0qdQUeKVyevrbKhAo0ibxS,George Harrison,My Sweet Lord - Remastered 2014,281.226,
73,2017,21RzyxY3EFaxVy6K4RqaU9,Brando,Body,163.216,
73,2016,7EVk9tRb6beJLTHrg6AkY9,Burak Yeter,Tuesday (feat. Danelle Sandoval),241.874,
73,2014,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,Say Something,229.4,
73,2014,37sINbJZcFdHFAsVNsPq1i,The Script,Superheroes,245.466,
73,2013,6F5c58TMEs1byxUstkzVeM,Katy Perry,Roar,223.546,
73,2013,1j8z4TTjJ1YOdoFEDwJTQa,Paramore,Ain't It Fun,296.52,
73,2012,0LtOwyZoSNZKJWHqjzADpW,Tame Impala,Feels Like We Only Go Backwards,192.96,
73,2008,1vcxF91pWs9uNwDROuiCPB,Rise Against,Savior,242.28,
73,2005,5nZYc9ZDMhlXv6iWahZTU8,Angel Y Khriz,Ven Bailalo - Reggaeton Mix,252.773,
73,2005,4bPQs0PHn4xbipzdPfn6du,Panic! At The Disco,I Write Sins Not Tragedies,186.634,
73,2005,2iXdwVdzA0KrI2Q0iZNJbX,Jack Johnson,Better Together,207.68,
73,2003,57Xjny5yNzAcsxnusKmAfA,The Strokes,Reptilia,219.826,
73,2003,27L8sESb3KR79asDUBu8nW,Fountains Of Wayne,Stacy's Mom,197.986,
73,2002,65H6t1WQBim6q93yM8fEwn,Judy Santos,Obsesion,254.72,
73,2001,7urtwZEtOypb3r8HNi42dT,bôa,Duvet,203.6,
73,1999,7nnWIPM5hwE3DaUBkvOIpy,Incubus,Drive,232.453,
73,1994,15VRO9CQwMpbqUYA7e6Hwg,Nirvana,The Man Who Sold The World,261.093,
73,1992,6txWz9UapYHVxEd7dDIHXT,Blind Melon,No Rain,217.106,
73,1987,0PdM2a6oIjqepoEfcJo0RO,Def Leppard,Pour Some Sugar On Me - Remastered 2017,267.306,
73,1981,3L7RtEcu1Hw3OXrpnthngx,The Human League,Don't You Want Me,236.92,
73,1979,1QFh8OH1e78dGd3VyJZCAC,The Cure,Boys Don't Cry,155.973,
73,1977,7Jh1bpe76CNTCgdgAdBw4Z,David Bowie,Heroes - 2017 Remaster,371.413,
73,1976,0KMGxYKeUzK9wc5DZCt3HT,Chicago,If You Leave Me Now,235.373,
72,2019,1y4jsQt7MjnZhiD1L6qFBC,Sub Urban,Cradles,209.829,
